#100 mg/ml mit FF 1 und 2 mg/ml		
#q	S(q)	deltaS(q)
0.004630697	0.416097794	0.011837504
0.004761395	0.416857048	0.011268751
0.004892092	0.431237726	0.011582565
0.005022789	0.414365587	0.009594173
0.005153487	0.393510059	0.011058236
0.005284184	0.432306902	0.008758815
0.005414881	0.43815283	0.00802542
0.005545579	0.41895835	0.008107551
0.005676276	0.420654525	0.008308245
0.005806973	0.424914897	0.007335821
0.00593767	0.42395205	0.007109829
0.006068368	0.417944883	0.00654096
0.006199065	0.437149687	0.006605047
0.006329762	0.420633135	0.006629728
0.00646046	0.425956378	0.006545377
0.006591157	0.434067743	0.006576535
0.006721854	0.435666751	0.00633231
0.006852552	0.444751384	0.006338128
0.006983249	0.43105349	0.005999689
0.007113946	0.427562089	0.005944547
0.007244644	0.44068278	0.005765455
0.007375341	0.441961886	0.00576854
0.007506038	0.435380385	0.005383674
0.007636736	0.449191107	0.005395794
0.007767433	0.437884214	0.005044459
0.00789813	0.427845679	0.005521897
0.008028827	0.440280595	0.005312726
0.008159525	0.44064646	0.005114621
0.008290222	0.449488302	0.005214139
0.008420919	0.454208239	0.004849146
0.008551617	0.447233411	0.004912056
0.008682314	0.439023742	0.00460312
0.008813011	0.446612782	0.005089018
0.008943709	0.442567031	0.004956359
0.009074406	0.450844709	0.00477994
0.009205103	0.44538956	0.004710572
0.009335801	0.458547781	0.004565871
0.009466498	0.454361544	0.004403349
0.009597195	0.447663354	0.00453563
0.009727893	0.445947378	0.004439836
0.00985859	0.450525479	0.004481628
0.009989287	0.454601662	0.004728394
0.010119984	0.460794688	0.004393692
0.010250682	0.453002866	0.004449266
0.010381379	0.442519363	0.00445859
0.010512076	0.453938681	0.004312346
0.010642774	0.463314194	0.004459197
0.010773471	0.456808288	0.004307276
0.010904168	0.456571411	0.004089391
0.011034866	0.467881116	0.004094554
0.011165563	0.453168166	0.004097329
0.01129626	0.464198769	0.004175867
0.011426958	0.466751472	0.003881016
0.011557655	0.450225821	0.003990756
0.011688352	0.458731848	0.003878945
0.011819049	0.472667031	0.003992853
0.011949747	0.468362446	0.003999939
0.012080444	0.472346361	0.003873499
0.012211141	0.47491705	0.003853292
0.012341839	0.476788427	0.003679034
0.012472536	0.470545295	0.003543721
0.012603233	0.47245498	0.003571867
0.012733931	0.479239166	0.003604666
0.012864628	0.484956039	0.003637054
0.012995325	0.484158103	0.003562893
0.013126023	0.481459473	0.003505061
0.01325672	0.47587815	0.003523776
0.013387417	0.477169024	0.00351577
0.013518115	0.483685016	0.003406024
0.013648812	0.480357104	0.003361794
0.013779509	0.483839126	0.0033575
0.013910206	0.481125729	0.003306924
0.014040904	0.496120376	0.003499048
0.014171601	0.488245337	0.003350352
0.014302298	0.493253964	0.003539936
0.014432996	0.490624481	0.003326413
0.014563693	0.492185534	0.003326721
0.01469439	0.494495787	0.003512307
0.014825088	0.489452304	0.003280158
0.014955785	0.492871401	0.003319912
0.015086482	0.486207971	0.003220564
0.01521718	0.493144227	0.003256034
0.015347877	0.491662941	0.003265172
0.015478574	0.495603917	0.003261846
0.015609272	0.501780571	0.003458082
0.015739969	0.498520317	0.003284894
0.015870666	0.500048666	0.003238143
0.016001363	0.501766057	0.003283247
0.016132061	0.501207439	0.003402612
0.016262758	0.494409249	0.003177995
0.016393455	0.501252935	0.00337398
0.016524153	0.501034717	0.003326369
0.01665485	0.497590629	0.003153271
0.016785547	0.504466691	0.003254083
0.016916245	0.505229085	0.003490265
0.017046942	0.505901535	0.003241757
0.017177639	0.507486612	0.003216069
0.017308337	0.506178464	0.003309796
0.017439034	0.505353149	0.003188693
0.017569731	0.506042419	0.00330481
0.017700429	0.511903634	0.00322445
0.017831126	0.511064439	0.003209072
0.017961823	0.511971306	0.003174372
0.01809252	0.513044971	0.003229706
0.018223218	0.515028128	0.00321503
0.018353915	0.511850699	0.003167529
0.018484612	0.522346503	0.003284512
0.01861531	0.513696208	0.00314726
0.018746007	0.51285248	0.003156279
0.018876704	0.523404547	0.003245149
0.019007402	0.519454445	0.003203286
0.019138099	0.515724886	0.003176208
0.019268796	0.523607414	0.003247163
0.019399494	0.518005825	0.003151376
0.019530191	0.5270643	0.003267538
0.019660888	0.521467155	0.003181348
0.019791586	0.52720749	0.003373198
0.019922283	0.530819618	0.003247251
0.02005298	0.528346015	0.003333052
0.020183677	0.528324537	0.003245366
0.020314375	0.523250946	0.003169441
0.020445072	0.53045715	0.003368376
0.020575769	0.533433993	0.003246941
0.020706467	0.530185981	0.003212011
0.020837164	0.5336885	0.003247025
0.020967861	0.528600508	0.003185426
0.021098559	0.537781576	0.003275128
0.021229256	0.531401127	0.003219908
0.021359953	0.539663962	0.003271577
0.021490651	0.53139628	0.003314125
0.021621348	0.53530179	0.003360514
0.021752045	0.533254466	0.003205785
0.021882743	0.53378449	0.003223975
0.02201344	0.539401532	0.003234352
0.022144137	0.542278902	0.003267493
0.022274834	0.540917621	0.003254091
0.022405532	0.545106416	0.003279308
0.022536229	0.545594608	0.003317424
0.022666926	0.539549822	0.003228501
0.022797624	0.547580846	0.003297099
0.022928321	0.541018337	0.003238027
0.023059018	0.556457575	0.00339927
0.023189716	0.551305841	0.003346521
0.023320413	0.558897575	0.003401198
0.02345111	0.55539185	0.003343418
0.023581808	0.554711092	0.003366228
0.023712505	0.552932582	0.003323373
0.023843202	0.562871725	0.003434333
0.023973899	0.557792109	0.003394965
0.024104597	0.557202053	0.003482039
0.024235294	0.558567687	0.003362825
0.024365991	0.556048164	0.003326599
0.024496689	0.556145201	0.00332784
0.024627386	0.556806521	0.003342047
0.024758083	0.562238687	0.003517648
0.024888781	0.562099212	0.003397483
