#mAbG 50 mM NaCl 10 mg/ml with FF 1 and 2 mg/ml		
#q	S(q)	deltaS(q)
0.004630697	0.87266782	0.024127011
0.004761395	0.891251701	0.022957909
0.004892092	0.921171891	0.023606335
0.005022789	0.872729818	0.019670535
0.005153487	0.924371303	0.022377354
0.005284184	0.87952958	0.017933743
0.005414881	0.867179594	0.016410395
0.005545579	0.884273066	0.016507881
0.005676276	0.905295182	0.016810708
0.005806973	0.868955803	0.014945553
0.00593767	0.873176112	0.014449669
0.006068368	0.869979623	0.013379698
0.006199065	0.875285129	0.013492652
0.006329762	0.879773837	0.01332458
0.00646046	0.889081954	0.0132494
0.006591157	0.902651394	0.013395141
0.006721854	0.907074315	0.012964142
0.006852552	0.904176016	0.012755025
0.006983249	0.891954322	0.012160432
0.007113946	0.907464624	0.012151547
0.007244644	0.894021019	0.011712094
0.007375341	0.908030759	0.011673673
0.007506038	0.890344338	0.01097537
0.007636736	0.879694662	0.010873391
0.007767433	0.8760091	0.010324394
0.00789813	0.908253847	0.011170314
0.008028827	0.91380832	0.010757754
0.008159525	0.89809525	0.010402389
0.008290222	0.902380526	0.010549948
0.008420919	0.881782452	0.009822436
0.008551617	0.891043311	0.009918969
0.008682314	0.868467443	0.009278122
0.008813011	0.91427867	0.010276267
0.008943709	0.894616863	0.009921455
0.009074406	0.893970603	0.009626488
0.009205103	0.900316824	0.009539902
0.009335801	0.895951658	0.009216461
0.009466498	0.887588601	0.008893714
0.009597195	0.90528231	0.009147107
0.009727893	0.892186215	0.008878181
0.00985859	0.90339933	0.009049641
0.009989287	0.896170592	0.009486171
0.010119984	0.90204562	0.008766434
0.010250682	0.914729594	0.008876416
0.010381379	0.906410267	0.00891242
0.010512076	0.908491756	0.008643499
0.010642774	0.904203438	0.008958403
0.010773471	0.923726766	0.008605267
0.010904168	0.896846806	0.008232667
0.011034866	0.909999921	0.008208274
0.011165563	0.900016094	0.008135032
0.01129626	0.914976197	0.008326005
0.011426958	0.879328148	0.007694186
0.011557655	0.906003238	0.007926035
0.011688352	0.897552224	0.007690499
0.011819049	0.918507073	0.007941306
0.011949747	0.916119262	0.007927617
0.012080444	0.90685602	0.007662639
0.012211141	0.91715144	0.00767634
0.012341839	0.902081379	0.007256645
0.012472536	0.890857964	0.007001445
0.012603233	0.894254147	0.007106079
0.012733931	0.905917163	0.007104009
0.012864628	0.915968303	0.007159163
0.012995325	0.910678477	0.006988322
0.013126023	0.905447293	0.00687585
0.01325672	0.891932911	0.006874299
0.013387417	0.891990087	0.006888763
0.013518115	0.903546609	0.006637827
0.013648812	0.900836525	0.006579467
0.013779509	0.904478764	0.006548566
0.013910206	0.898543357	0.006438037
0.014040904	0.925508764	0.006803802
0.014171601	0.908957279	0.006508113
0.014302298	0.915849143	0.006836381
0.014432996	0.910461752	0.006441692
0.014563693	0.911030079	0.006426659
0.01469439	0.909196869	0.006719832
