#q [nm-1]	S(q) 150 mg/ml	deltaS
0.0842924	0.34575954	0.026390253
0.0923051	0.316073555	0.022374906
0.1003178	0.330670919	0.020663426
0.1083304	0.343349143	0.021633844
0.1163431	0.357349751	0.021720393
0.1243558	0.333063156	0.018037112
0.1323684	0.352635497	0.01894878
0.1403811	0.319541901	0.016385801
0.1483938	0.357529191	0.018447009
0.1564064	0.350981514	0.017719132
0.1644191	0.34999267	0.017548679
0.1724318	0.344139825	0.016207788
0.1804444	0.351533871	0.017073237
0.1884571	0.375698109	0.017742735
0.1964697	0.382718088	0.017266976
0.2044824	0.353681027	0.016030854
0.2124951	0.36386507	0.0164857
0.2205077	0.3966532	0.017627789
0.2285204	0.381714942	0.017462015
0.2365331	0.402526835	0.01747423
0.2445457	0.408091631	0.018296718
0.2525584	0.417940844	0.018755446
0.2605711	0.445502838	0.020520314
0.2685837	0.45998732	0.021517163
0.2765964	0.44434001	0.021666882
0.2846091	0.458172851	0.022182548
0.2926217	0.431253639	0.019399058
0.3129742	0.479701552	0.00394867
0.3319195	0.507318054	0.004243513
0.3508648	0.534019595	0.004637337
0.3698101	0.553455089	0.00465192
0.3887553	0.584364639	0.005127476
0.4077006	0.609117679	0.005667352
0.4266459	0.649658507	0.006053787
0.4455912	0.670243983	0.006366213
0.4645365	0.694881983	0.006845435
0.4834818	0.711172657	0.007015846
0.5024271	0.755382508	0.007945516
0.5213723	0.765587794	0.008253752
0.5403176	0.800943169	0.008820174
0.5592629	0.805717126	0.00899826
0.5782082	0.826680523	0.009442286
0.5971535	0.845510128	0.009978695
0.6160988	0.843371266	0.010088486
0.635044	0.854924168	0.010446091
0.6539893	0.857475165	0.010815398
0.6729346	0.871252561	0.011362913
0.6918799	0.901013746	0.012630037
0.7108252	0.892888535	0.012446242
0.7297705	0.890460015	0.012702062
0.7487157	0.893806108	0.013171269
0.767661	0.903165028	0.013272061
0.7866063	0.892185753	0.013241666
0.8055516	0.935089801	0.014974831
0.8244969	0.91588669	0.014353425
0.8434422	0.912635552	0.014825724
0.8623874	0.929424372	0.015539545
0.8813327	0.918172954	0.015990073
0.900278	0.966680026	0.017349749
0.9192233	0.950277064	0.017494094
0.9381686	0.958012872	0.018350103
0.9571139	0.998443528	0.020091295
0.9760591	1.005527004	0.020660429
0.9950044	1.023268129	0.022157362
1.01395	1.002280189	0.021298233
1.032895	1.020353423	0.022848469
1.05184	1.023685071	0.023524594
1.070786	1.032003368	0.025178661
1.089731	1.001582937	0.025090951
1.108676	1.017144705	0.026046716
1.127621	1.035795346	0.028657231
1.146567	0.996656492	0.027886366
1.165512	1.040623044	0.030635158
1.184457	1.088735622	0.03528216
1.203403	1.097946906	0.03695287
1.222348	1.04452631	0.034593911
1.241293	1.063231813	0.037526754
1.260238	1.056175905	0.038740372
1.279184	0.968188396	0.033889983
1.298129	0.991361969	0.036224327
1.317074	1.014652472	0.039288808
1.33602 	1.020048976	0.040037953
1.354965	0.992171682	0.039825633
1.37391 	1.009024913	0.04188443
1.392855	1.051487814	0.046754204
1.411801	1.000851259	0.042905503
1.430746	1.003357407	0.044564363
1.449691	1.100848819	0.053188613
1.468637	1.021377407	0.047383017
1.487582	1.095023968	0.055366588
1.506527	0.965027324	0.044414381
1.525472	0.993057383	0.047073575
1.544418	0.901256272	0.041161962
1.563363	1.047771548	0.055311435
1.582308	0.943519279	0.045359649
1.601254	1.011388312	0.054221167
1.620199	1.086873304	0.06201683
1.639144	1.04385415	0.060152888
1.658089	1.019035831	0.058328934
1.677035	1.030981765	0.061793806
1.69598 	1.050864126	0.065345824
1.714925	1.084977392	0.069856964
1.733871	0.979395725	0.058988426
1.752816	0.986555386	0.062474451
1.771761	1.077303631	0.076191985
1.790706	1.073292872	0.078068261
1.809652	0.928241717	0.058580316
1.828597	0.977727567	0.069198033
1.847542	0.990562692	0.07263742
1.866487	1.169166784	0.106155694
1.885433	0.897254466	0.0641889
1.904378	0.8628535	0.061221247
1.923323	0.98515759	0.081481986
1.942269	0.93819391	0.077095524
1.961214	1.039677119	0.096006772
1.980159	0.833096404	0.066871209
1.999104	0.893034744	0.080220238
