#mAbG 50 mM NaCl 30 mg/ml		
#q nm-1	Sq	deltaS(q)
0.046306973	0.680874829	0.017805105
0.047613946	0.680115691	0.01695738
0.048920919	0.6992129	0.017424341
0.050227892	0.673583113	0.01439811
0.051534866	0.638201161	0.016643226
0.052841839	0.697401249	0.01318373
0.054148812	0.709782986	0.012105877
0.055455785	0.685115019	0.01217349
0.056762758	0.686781038	0.012457555
0.058069731	0.689840923	0.011005629
0.059376704	0.686919321	0.010669882
0.060683677	0.674062773	0.00980654
0.061990651	0.713307734	0.009927172
0.063297624	0.676997184	0.009930407
0.064604597	0.688561633	0.00981752
0.06591157	0.697652673	0.009815623
0.067218543	0.702373172	0.009512085
0.068525516	0.717981663	0.009491238
0.069832489	0.690819269	0.00895833
0.071139462	0.691768393	0.00892943
0.072446436	0.710145367	0.008615548
0.073753409	0.708207005	0.008619725
0.075060382	0.696786162	0.008079189
0.076367355	0.721600364	0.008067487
0.077674328	0.703442398	0.007554763
0.078981301	0.689594254	0.008231876
0.080288274	0.706208203	0.007921301
0.081595247	0.70683815	0.007620424
0.08290222	0.719258874	0.007751299
0.084209194	0.724500043	0.007212293
0.085516167	0.710393569	0.007294563
0.08682314	0.699059369	0.006885867
0.088130113	0.715531898	0.007589288
0.089437086	0.702279889	0.007389218
0.090744059	0.719006312	0.00709324
0.092051032	0.709224348	0.006998796
0.093358005	0.728625852	0.006788409
0.094664979	0.723366044	0.006520995
0.095971952	0.713433706	0.00671063
0.097278925	0.713842724	0.006561084
0.098585898	0.716808907	0.006643756
0.099892871	0.717886064	0.007000845
0.10119984	0.730265535	0.00650351
0.10250682	0.71927952	0.006575218
0.10381379	0.703026666	0.006579589
0.10512076	0.718565881	0.006398072
0.10642774	0.733171003	0.006620226
0.10773471	0.724679433	0.006346633
0.10904168	0.718861222	0.006024287
0.11034866	0.737322436	0.006038925
0.11165563	0.712530406	0.006022885
0.1129626	0.731106249	0.006142773
0.11426958	0.732475044	0.005717436
0.11557655	0.712059068	0.005871446
0.11688352	0.71719776	0.005698913
0.11819049	0.740395674	0.005860645
0.11949747	0.737438768	0.005878167
0.12080444	0.743838011	0.005668701
0.12211141	0.742332398	0.005650566
0.124071875	0.736788649	0.005384925
0.12668582	0.730493909	0.005196286
0.129299765	0.730955567	0.005238693
0.131913715	0.735373278	0.005280562
0.13452766	0.727567713	0.00531407
0.137141605	0.733186431	0.005191994
0.13975555	0.745213108	0.005107982
0.142369495	0.732441518	0.005144083
0.144983445	0.741188587	0.005117018
0.14759739	0.740068683	0.004955994
0.150211335	0.745021465	0.004878236
0.152825285	0.749092935	0.00488107
0.15543923	0.735098369	0.004791727
0.158053175	0.743060109	0.005068486
0.16066712	0.738200055	0.004856955
0.163281065	0.744130118	0.005133068
0.165895015	0.744866453	0.004822054
0.16850896	0.74299507	0.004812263
0.171122905	0.746896704	0.005081642
0.173736855	0.748363669	0.004736125
0.1763508	0.749060812	0.00478321
0.178964745	0.745861	0.004652608
0.18157869	0.75205083	0.004696138
0.184192635	0.750053849	0.004710747
0.186806585	0.75713957	0.004686634
0.18942053	0.765374921	0.00496806
0.192034475	0.758526991	0.004707297
0.194648425	0.766756275	0.004649686
0.19726237	0.768685255	0.004706886
0.199876315	0.75919888	0.004875929
0.20249026	0.763895646	0.004550837
0.205104205	0.772036741	0.004824588
0.207718155	0.774114019	0.004774034
0.2103321	0.770282236	0.004505157
0.212946045	0.764650358	0.004642318
0.215559995	0.766867337	0.004982883
0.21817394	0.773713153	0.004630559
0.220787885	0.76723018	0.004580262
0.22340183	0.780292942	0.00470606
0.226015775	0.774166903	0.004535798
0.228629725	0.775733855	0.004686649
0.23124367	0.780896696	0.004575369
0.233857615	0.77831143	0.004548423
0.236471565	0.774232443	0.004488135
0.239085505	0.794017097	0.004569329
0.241699455	0.788259955	0.004533345
0.2443134	0.790884687	0.004478062
0.246927345	0.788766399	0.004635525
0.249541295	0.792026993	0.004436955
0.25215524	0.786650212	0.004448507
0.254769185	0.793008211	0.004566545
0.257383135	0.800045347	0.004509795
0.259997075	0.792363492	0.004456141
0.262611025	0.795584382	0.004558037
0.26522497	0.807398849	0.004431339
0.267838915	0.794849904	0.004580848
0.270452865	0.797020328	0.004461959
0.27306681	0.802244526	0.004725837
0.275680755	0.807777691	0.004537314
0.278294705	0.809535026	0.004674453
0.280908645	0.807345956	0.004530265
0.283522595	0.814712627	0.00442078
0.28613654	0.811133131	0.004688428
0.288750485	0.810248679	0.004527881
0.291364435	0.804693495	0.00446948
0.29397838	0.811378367	0.004510608
0.296592325	0.831125653	0.00443082
0.299206275	0.822310396	0.004538164
0.301820215	0.818780227	0.00446816
0.304434165	0.821197417	0.004522902
0.30704811	0.824076658	0.004585347
0.309662055	0.826308591	0.004645861
0.312276005	0.833932009	0.004420458
0.31488995	0.825857209	0.004456905
0.317503895	0.822042642	0.004462215
0.320117845	0.835307581	0.00450363
0.322731785	0.835001985	0.004476008
0.325345735	0.828600474	0.004506829
0.32795968	0.838413521	0.004560815
0.330573625	0.834380958	0.00442747
0.333187575	0.840063563	0.004529364
0.33580152	0.839844585	0.004435896
0.338415465	0.836977119	0.004660092
0.341029415	0.845645521	0.004576309
0.343643355	0.832313048	0.004638104
0.346257305	0.838688454	0.004561443
0.34887125	0.844072544	0.004592331
0.351485195	0.84387145	0.004529138
0.354099145	0.847275191	0.004676706
0.35671309	0.852243266	0.004613098
0.359327035	0.859221324	0.004741123
0.361940985	0.856650714	0.004577728
0.364554925	0.86385071	0.004512436
0.367168875	0.855905297	0.004509049
0.36978282	0.872911684	0.004525966
0.372396765	0.856658889	0.004756045
0.375010715	0.876536971	0.004593553
0.37762466	0.863317388	0.004577953
