#60 mg/ml nominal mit FF 1 und 2 mg/ml		
#q	S(q)	deltaS(q)
0.004630697	0.587912456	0.01639263
0.004761395	0.585339986	0.015633193
0.004892092	0.608228964	0.016170907
0.005022789	0.580000124	0.013313863
0.005153487	0.554889918	0.015281513
0.005284184	0.608263487	0.012151149
0.005414881	0.614302604	0.011072459
0.005545579	0.589463193	0.01122837
0.005676276	0.589559968	0.011485962
0.005806973	0.597948937	0.010101454
0.00593767	0.59150435	0.009822089
0.006068368	0.588805707	0.009047704
0.006199065	0.615974464	0.009108145
0.006329762	0.585776569	0.009129413
0.00646046	0.592772143	0.009033355
0.006591157	0.610461838	0.009102185
0.006721854	0.610024409	0.00873666
0.006852552	0.623454964	0.008736504
0.006983249	0.602025456	0.008255283
0.007113946	0.596452173	0.00821442
0.007244644	0.618944363	0.007962895
0.007375341	0.614342382	0.007959449
0.007506038	0.605635002	0.007417246
0.007636736	0.627724712	0.007433027
0.007767433	0.607765754	0.00695767
0.00789813	0.599233511	0.007590767
0.008028827	0.61378759	0.00730364
0.008159525	0.613505859	0.007033142
0.008290222	0.62700413	0.007154634
0.008420919	0.634434778	0.006645568
0.008551617	0.623243875	0.006725372
0.008682314	0.608928332	0.006323024
0.008813011	0.622411798	0.006988915
0.008943709	0.611607067	0.006837657
0.009074406	0.624936555	0.00653261
0.009205103	0.619906178	0.006465857
0.009335801	0.63899492	0.00627046
0.009466498	0.630783938	0.006034611
0.009597195	0.623469029	0.006209957
0.009727893	0.618159208	0.00607024
0.00985859	0.622310343	0.006139552
0.009989287	0.627659245	0.006464391
0.010119984	0.640427415	0.006012538
0.010250682	0.624095549	0.006088024
0.010381379	0.615764786	0.006094182
0.010512076	0.627329077	0.005908097
0.010642774	0.641961841	0.006092768
0.010773471	0.634233531	0.005875701
0.010904168	0.62734134	0.005576791
0.011034866	0.64503575	0.005575973
0.011165563	0.62595938	0.005568078
0.01129626	0.639755545	0.00566999
0.011426958	0.64139508	0.005267842
0.011557655	0.624034579	0.005435284
0.011688352	0.630628976	0.005255816
0.011819049	0.645493766	0.005403686
0.011949747	0.641500449	0.005423049
0.012080444	0.649040753	0.0052367
0.012211141	0.651258973	0.005212123
0.012341839	0.64438789	0.004984525
0.012472536	0.634654082	0.004791858
0.012603233	0.637085936	0.004838335
0.012733931	0.646626122	0.004875781
0.012864628	0.655239985	0.004926143
0.012995325	0.652095748	0.004810785
0.013126023	0.648900041	0.004735946
0.01325672	0.642761528	0.004770687
0.013387417	0.641735866	0.004739676
0.013518115	0.649125558	0.004582758
0.013648812	0.645927265	0.004532176
0.013779509	0.649417082	0.004518095
0.013910206	0.646081189	0.004445111
0.014040904	0.664638332	0.004699449
0.014171601	0.654668901	0.004503946
0.014302298	0.659727001	0.004746056
0.014432996	0.654626094	0.004450088
0.014563693	0.657964282	0.004458885
0.01469439	0.661865525	0.004712349
0.014825088	0.652702546	0.004385935
0.014955785	0.656543992	0.004434158
0.015086482	0.64892	0.004309918
0.01521718	0.656423137	0.004345742
0.015347877	0.655373668	0.004364056
0.015478574	0.659156225	0.004349924
0.015609272	0.667322555	0.004610244
0.015739969	0.661010165	0.004367438
0.015870666	0.665082801	0.004318348
0.016001363	0.665705527	0.004367646
0.016132061	0.662748276	0.004510723
0.016262758	0.655520555	0.004225218
0.016393455	0.664035884	0.004474438
0.016524153	0.666093075	0.004433206
0.01665485	0.660554729	0.004197446
0.016785547	0.667459104	0.004317218
0.016916245	0.668827978	0.004631144
0.017046942	0.669851555	0.004303956
0.017177639	0.669131829	0.004252156
0.017308337	0.667373787	0.004375083
0.017439034	0.666344982	0.004216201
0.017569731	0.666637216	0.00436491
0.017700429	0.674216367	0.004258556
0.017831126	0.672559224	0.004234855
0.017961823	0.673146148	0.004185336
0.01809252	0.674956256	0.004268861
0.018223218	0.674642261	0.004223261
0.018353915	0.672977157	0.00417624
0.018484612	0.685344466	0.00432127
0.01861531	0.673008531	0.004134958
0.018746007	0.671304933	0.004143201
0.018876704	0.684006909	0.004252754
0.019007402	0.678004484	0.004192888
0.019138099	0.671833062	0.004149625
0.019268796	0.683021801	0.004241304
0.019399494	0.675996555	0.004124279
0.019530191	0.686306315	0.004266748
0.019660888	0.67909899	0.004154877
0.019791586	0.687342921	0.00440922
