#q [nm-1]	Sq mAbG 100 mg/ml 50 mM NaCl
#ß0.045	0.379341835
0.046306973	0.416097794
0.047613946	0.416857048
0.048920919	0.431237726
0.050227892	0.414365587
0.051534866	0.393510059
0.052841839	0.432306902
0.054148812	0.43815283
0.055455785	0.41895835
0.056762758	0.420654525
0.058069731	0.424914897
0.059376704	0.42395205
0.060683677	0.417944883
0.061990651	0.437149687
0.063297624	0.420633135
0.064604597	0.425956378
0.06591157	0.434067743
0.067218543	0.435666751
0.068525516	0.444751384
0.069832489	0.43105349
0.071139462	0.427562089
0.072446436	0.44068278
0.073753409	0.441961886
0.075060382	0.435380385
0.076367355	0.449191107
0.077674328	0.437884214
0.078981301	0.427845679
0.080288274	0.440280595
0.081595247	0.44064646
0.08290222	0.449488302
0.084209194	0.454208239
0.085516167	0.447233411
0.08682314	0.439023742
0.088130113	0.446612782
0.089437086	0.442567031
0.090744059	0.450844709
0.092051032	0.44538956
0.093358005	0.458547781
0.094664979	0.454361544
0.095971952	0.447663354
0.097278925	0.445947378
0.098585898	0.450525479
0.099892871	0.454601662
0.10119984	0.460794688
0.10250682	0.453002866
0.10381379	0.442519363
0.10512076	0.453938681
0.10642774	0.463314194
0.10773471	0.456808288
0.10904168	0.456571411
0.11034866	0.467881116
0.11165563	0.453168166
0.1129626	0.464198769
0.11426958	0.466751472
0.11557655	0.450225821
0.11688352	0.458731848
0.11819049	0.472667031
0.11949747	0.468362446
0.12080444	0.472346361
0.12211141	0.47491705
0.124071875	0.470423781
0.12668582	0.467823686
0.129299765	0.468024166
0.131913715	0.470817688
0.13452766	0.467243595
0.137141605	0.47395367
0.13975555	0.480097149
0.142369495	0.473426205
0.144983445	0.479196311
0.14759739	0.480223534
0.150211335	0.486704934
0.152825285	0.488525923
0.15543923	0.480204154
0.158053175	0.486287748
0.16066712	0.483808467
0.163281065	0.489092544
0.165895015	0.491046873
0.16850896	0.489706698
0.171122905	0.49157867
0.173736855	0.496387444
0.1763508	0.497754982
0.178964745	0.4956456
0.18157869	0.501272573
0.184192635	0.499832602
0.186806585	0.506489312
0.18942053	0.512857873
0.192034475	0.509661809
0.194648425	0.516696401
0.19726237	0.519259499
0.199876315	0.513636016
0.20249026	0.517802114
0.205104205	0.526667718
0.207718155	0.527729754
