#q	S(q) 100 mg/ml 7 mM 	deltaS(q)
0.06025445	0.062657913	0.015422763
0.06826711	0.069798541	0.011718121
0.07627977	0.091401726	0.017341301
0.08429244	0.087829836	0.01120633
0.0923051	0.09549564	0.010694759
0.1003178	0.096309794	0.009691002
0.1083304	0.098522263	0.010797247
0.1163431	0.110060933	0.010305751
0.1243558	0.112443135	0.009085363
0.1323684	0.114470742	0.009009083
0.1403811	0.11912434	0.009006853
0.1483938	0.133822474	0.008644992
0.1564064	0.137752258	0.009208397
0.1644191	0.146765283	0.00917354
0.1724318	0.148156726	0.009524946
0.1804444	0.161226659	0.009291807
0.1884571	0.177504664	0.009637147
0.1964697	0.177346241	0.009719649
0.2044824	0.185239098	0.010564842
0.2124951	0.189437397	0.010608937
0.2205077	0.202838328	0.010524075
0.2285204	0.215504252	0.011664095
0.2365331	0.23990985	0.011156032
0.2445457	0.235339318	0.0117523
0.2525584	0.257962465	0.013291854
0.2605711	0.282522595	0.013873196
0.2685837	0.29587319	0.014979343
0.2765964	0.302385884	0.016758574
0.2846091	0.307764087	0.016816071
0.2926217	0.3276681	0.017295829
0.3006344	0.324238381	0.017669022
0.308647	0.376573493	0.019417602
0.3166597	0.371928187	0.021219585
0.3246724	0.393188338	0.023824594
0.332685	0.423162534	0.024636356
0.3406977	0.435510778	0.026450383
0.3487104	0.501729782	0.028403308
0.356723	0.514103841	0.030186224
0.3647357	0.512263751	0.032221922
0.1235214	0.118149512	0.005749259
0.1424667	0.128537513	0.002036993
0.1614119	0.143372026	0.002047188
0.1803572	0.161909684	0.002080484
0.1993025	0.184100897	0.002062165
0.2182478	0.20791327	0.0022742
0.2371931	0.236898102	0.002384442
0.2561384	0.276431394	0.002598067
0.2750836	0.316061299	0.002891214
0.2940289	0.359640257	0.003256944
0.3129742	0.401568981	0.003606241
0.3319195	0.459974327	0.004051552
0.3508648	0.522242489	0.004743892
0.3698101	0.579545262	0.005158068
0.3887553	0.645533222	0.005918258
0.4077006	0.702517213	0.006757676
0.4266459	0.767929886	0.007263772
0.4455912	0.815599784	0.008020258
0.4645365	0.846481939	0.008859903
0.4834818	0.890121257	0.009340281
0.5024271	0.931135032	0.010150466
0.5213723	0.935985318	0.010735963
0.5403176	0.970046134	0.011026233
0.5592629	0.972151658	0.011156636
0.5782082	0.982605295	0.011335351
0.5971535	0.994391519	0.011750058
0.6160988	0.971319544	0.011901839
0.635044	0.998779162	0.012106845
0.6539893	0.991896465	0.012567333
0.6729346	0.997423051	0.013143716
0.6918799	1.029258816	0.014012751
0.7108252	1.024966033	0.013946864
0.7297705	1.011262073	0.01395331
0.7487157	1.009994876	0.014439599
0.767661	1.01478525	0.014499276
0.7866063	0.987662292	0.014615417
0.8055516	1.017901293	0.015680884
0.8244969	0.991667372	0.015008552
0.8434422	0.986963135	0.015890477
0.8623874	0.973412167	0.016349618
0.8813327	0.996580515	0.017909016
0.900278	1.01497777	0.017910682
0.9192233	0.977104899	0.018455047
0.9381686	0.983649587	0.019259747
0.9571139	1.011005188	0.020055119
0.9760591	0.997564754	0.020694588
0.9950044	1.039463155	0.022860789
1.01395	1.009297946	0.022317644
1.032895	0.995806625	0.021938748
1.05184	0.982511446	0.023744603
1.070786	0.996742815	0.025417889
1.089731	0.973066411	0.025333731
1.108676	0.976377713	0.025806614
1.127621	0.986306253	0.02967522
1.146567	0.950831984	0.028423595
1.165512	0.992786685	0.031153673
1.184457	1.020299549	0.035053449
1.203403	1.03888301	0.036079626
1.222348	0.98000942	0.034515502
1.241293	1.006346785	0.037058509
1.260238	0.994730912	0.039990839
1.279184	0.924265159	0.035390924
1.298129	0.910272075	0.037295325
1.317074	0.942456182	0.039859041
1.33602	0.948738545	0.041451688
1.354965	0.931132539	0.039083773
1.37391	0.929673138	0.040750204
1.392855	0.978229269	0.049552405
1.411801	0.932030735	0.045590272
1.430746	0.943626553	0.043496036
1.449691	1.01880652	0.049407077
1.468637	0.967165658	0.046512866
1.487582	1.005772083	0.056039487
