#q [nm-1]	S(q) 40 mg/ml new data January 2022
0.06025445	0.206620505
0.06826711	0.209186277
0.08429244	0.213146714
0.0923051	0.222774415
0.1003178	0.227125368
0.1083304	0.234909241
0.1163431	0.244087749
0.1243558	0.251717077
0.1323684	0.254555335
0.1403811	0.268085478
0.1483938	0.277971459
0.1564064	0.286264653
0.1644191	0.293440453
0.1724318	0.307263676
0.1804444	0.31842061
0.1884571	0.331470786
0.1964697	0.346864888
0.2044824	0.369170712
0.2124951	0.392300546
0.2205077	0.414365789
0.2285204	0.433368511
0.2365331	0.457649912
0.2445457	0.483669447
0.2525584	0.504488407
0.2605711	0.530534075
0.2685837	0.559946327
0.2765964	0.585195536
0.2846091	0.613341431
0.2926217	0.642456785
0.3006344	0.680269339
0.308647	0.712869074
0.3166597	0.749875291
0.3246724	0.786940359
0.332685	0.820161062
0.3406977	0.848130894
0.3487104	0.880436031
0.356723	0.908428339
0.3647357	0.935169976
0.1235197	0.252001491
0.1424648	0.275621263
0.1614098	0.299862581
0.1803548	0.324797857
0.1992999	0.359396026
0.2182449	0.404042949
0.2371899	0.456485341
0.256135	0.51671184
0.27508	0.587388902
0.294025	0.66354378
0.3129701	0.736594753
0.3319151	0.80871278
0.3508601	0.883402924
0.3698052	0.950531179
0.3887502	0.996261926
0.4076952	1.024320337
0.4266403	1.047135387
0.4455853	1.064853688
0.4645303	1.075882047
0.4834754	1.076123529
0.5024204	1.07333071
0.5213654	1.063757265
0.5403105	1.052074168
0.5592555	1.038378762
0.5782005	1.028217804
0.5971456	1.021998459
0.6160906	1.01770679
0.6350356	1.015996171
0.6539807	1.01775957
0.6729257	1.012075646
0.6918707	1.015218774
0.7108158	1.011372543
0.7297608	1.012287579
0.7487058	1.013970547
0.7676508	1.011765287
0.7865959	1.010932002
0.8055409	1.01374745
0.8244859	1.017199562
0.843431	1.017769248
0.862376	1.01058767
0.881321	1.004472675
0.9002661	1.003563221
0.9192111	1.002837568
0.9381561	1.002167258
0.9571012	1.00852562
0.9760462	1.01442524
0.9949912	1.01450036
1.013936	1.016773227
1.032881	1.017109292
1.051826	1.014395775
1.070771	1.01651845
1.089716	1.020358303
1.108661	1.015187225
1.127606	1.003165875
1.146552	1.001859698
1.165497	1.003782251
1.184442	1.007444781
1.203387	1.003197225
1.222332	1.005302241
1.241277	1.001976723
1.260222	1.003381414
1.279167	1.009768729
1.298112	1.006052885
1.317057	0.99705092
1.336002	1.000290486
1.354947	1.013201755
1.373892	1.01077135
1.392837	1.006130151
1.411782	1.002346578
1.430727	0.988605829
1.449672	0.983223066
1.468617	0.993924498
1.487562	1.002631757
