#q	S(q)	deltaS(q)
0.06025445	0.15971821	0.026433505
0.06826711	0.163949207	0.021088508
0.07627977	0.215490293	0.025713822
0.08429244	0.189647907	0.018310277
0.0923051	0.182562874	0.016727166
0.1003178	0.214317308	0.01666971
0.1083304	0.219242706	0.017185749
0.1163431	0.201268486	0.015280745
0.1243558	0.219837889	0.014747254
0.1323684	0.238735242	0.015348355
0.1403811	0.248407959	0.015191479
0.1483938	0.213259325	0.013348136
0.1564064	0.266854264	0.015701417
0.1644191	0.261257452	0.015522809
0.1724318	0.276382204	0.01508203
0.1804444	0.288926684	0.015816608
0.1884571	0.319235294	0.01668239
0.1964697	0.319577352	0.016103954
0.2044824	0.323062647	0.01630949
0.2124951	0.351071624	0.01743437
0.2205077	0.369480994	0.017853624
0.2285204	0.37425568	0.018629541
0.2365331	0.394029193	0.018437009
0.2445457	0.411099925	0.019629824
0.2525584	0.448120755	0.021257087
0.2605711	0.467168345	0.022478817
0.2685837	0.512300121	0.0249562
0.2765964	0.5453237	0.027444109
0.2846091	0.557303078	0.02781631
0.2926217	0.578473791	0.028987398
0.3006344	0.626602569	0.030129065
0.308647	0.654399941	0.032852717
0.3166597	0.716038751	0.035747866
0.3246724	0.750770845	0.039227426
0.332685	0.749084196	0.039116451
0.3406977	0.817180753	0.044660954
0.3487104	0.781941353	0.044259755
0.356723	0.86097323	0.047655921
0.3647357	0.88520973	0.049424173
0.1235214	0.243427318	0.009725856
0.1424667	0.241499219	0.003265107
0.1614119	0.271833735	0.003391133
0.1803572	0.292755366	0.003444683
0.1993025	0.322476264	0.003398383
0.2182478	0.369765644	0.003760911
0.2371931	0.415292684	0.0039763
0.2561384	0.479613983	0.004403537
0.2750836	0.549850769	0.004839591
0.2940289	0.616953852	0.005464392
0.3129742	0.685723096	0.005900771
0.3319195	0.766898385	0.006613996
0.3508648	0.839209453	0.007471323
0.3698101	0.920556699	0.007880782
0.3887553	0.962761198	0.008600729
0.4077006	0.999218136	0.009468366
0.4266459	1.011413506	0.009627869
0.4455912	1.037638972	0.010101562
0.4645365	1.060250027	0.01073912
0.4834818	1.065324887	0.010837366
0.5024271	1.049894815	0.011434341
0.5213723	1.042925207	0.011682062
0.5403176	1.030920317	0.011808719
0.5592629	1.029325543	0.011964743
0.5782082	0.997408615	0.011898662
0.5971535	1.008408598	0.012398957
0.6160988	1.00055024	0.012498957
0.635044	0.991060204	0.012640266
0.6539893	1.007428179	0.01324498
0.6729346	1.012901249	0.013784737
0.6918799	0.996791285	0.014549175
0.7108252	0.995358139	0.014463922
0.7297705	0.977414068	0.014537552
0.7487157	0.985526738	0.015133375
0.767661	0.98185825	0.015029027
0.7866063	0.96750997	0.014995748
0.8055516	0.973706862	0.016244356
0.8244969	0.95409535	0.015595746
0.8434422	0.968670983	0.016410223
0.8623874	0.98734371	0.017232499
0.8813327	1.026087453	0.018624416
0.900278	0.991522418	0.018530324
0.9192233	0.991139767	0.019047137
0.9381686	0.984570991	0.01967932
0.9571139	0.988040841	0.020702547
0.9760591	0.985608291	0.021086681
0.9950044	1.01654582	0.022853771
1.01395	    1.019967218	0.022549062
1.032895	0.970082724	0.022598125
1.05184	    1.012060896	0.024162642
1.070786	1.029513956	0.026068519
1.089731	0.980075674	0.025511589
1.108676	1.010328083	0.026835042
1.127621	1.045662179	0.029963518
1.146567	0.974192787	0.028311853
1.165512	0.996801051	0.030422105
1.184457	1.037292911	0.034738764
1.203403	1.016026016	0.035272419
1.222348	1.018400237	0.034836311
1.241293	1.004618432	0.0365936
1.260238	1.0384112	0.039307326
1.279184	0.967275259	0.035071753
1.298129	0.994158394	0.037551631
1.317074	1.019026436	0.040641449
1.33602	    1.027127507	0.041585827
1.354965	0.930847933	0.038623287
1.37391	    0.961227675	0.041132575
1.392855	1.064068969	0.048575571
1.411801	1.038581628	0.045881814
1.430746	0.961275229	0.043928297
1.449691	0.99771661	0.049422956
1.468637	0.939242631	0.044893185
1.487582	1.109585409	0.057510752
1.506527	1.044072836	0.049466252
1.525472	1.087810646	0.053076352
1.544418	1.074328611	0.050684447
1.563363	1.009393757	0.054676046
1.582308	1.021093136	0.050603125
1.601254	1.128257669	0.0619923
1.620199	1.068305769	0.062376781
1.639144	1.109609604	0.065414063
1.658089	1.03452707	0.060778657
1.677035	1.078297964	0.066249753
1.69598		1.108812108	0.070519616
1.714925	1.051981	0.069175611
1.733871	1.015767734	0.062852464
1.752816	1.039393904	0.067552545
1.771761	1.021237326	0.073939219
1.790706	1.152752687	0.085801485
1.809652	0.971382889	0.063231811
1.828597	1.092327866	0.079219823
1.847542	1.058380958	0.07946881
1.866487	1.084774839	0.100292712
1.885433	1.234912937	0.090868782
1.904378	0.993207684	0.072671022
1.923323	1.165936038	0.098759176
1.942269	1.202092817	0.101612824
1.961214	1.203964552	0.113488684
1.980159	0.938201184	0.077516057
1.999104	1.107351318	0.101746104
